object	rc	first error
logicalfuncs.o	0	
logicalmsgdesc.o	0	
logtape.o	0	
lsyscache.o	0	
lwlock.o	0	
mac.o	0	
mac8.o	0	
main.o	0	
makefuncs.o	0	
matview.o	0	
mbutils.o	0	
mcv.o	0	
mcxt.o	0	
mcxtfuncs.o	0	
md.o	0	
md5.o	0	
md5_common.o	0	
md5_common_shlib.o	0	
md5_common_srv.o	0	
md5_shlib.o	0	
md5_srv.o	0	
memdebug.o	0	
message.o	0	
misc.o	0	
miscinit.o	0	
multibitmapset.o	0	
multirangetypes.o	0	
multirangetypes_selfuncs.o	0	
multixact.o	0	
mvdistinct.o	0	
mxactdesc.o	0	
name.o	0	
namespace.o	0	
nbtcompare.o	0	
nbtdedup.o	0	
nbtdesc.o	0	
nbtinsert.o	0	
nbtpage.o	0	
nbtree.o	0	
nbtsearch.o	0	
nbtsort.o	0	
nbtsplitloc.o	0	
nbtutils.o	0	
nbtvalidate.o	0	
nbtxlog.o	0	
network.o	0	
network_gist.o	0	
network_selfuncs.o	0	
network_spgist.o	0	
noblock.o	0	
noblock_shlib.o	0	
noblock_srv.o	0	
nodeAgg.o	1	../../../src/include/executor/execExpr.h:723:18: error: static assertion failed due to requirement 'sizeof(struct ExprEvalStep) <= 64': size of ExprEvalStep exceeds 64 bytes
nodeAppend.o	0	
nodeBitmapAnd.o	0	
nodeBitmapHeapscan.o	0	
nodeBitmapIndexscan.o	0	
nodeBitmapOr.o	0	
nodeCtescan.o	0	
nodeCustom.o	0	
nodeForeignscan.o	0	
nodeFuncs.o	0	
nodeFunctionscan.o	0	
nodeGather.o	0	
nodeGatherMerge.o	0	
nodeGroup.o	0	
nodeHash.o	0	
nodeHashjoin.o	0	
nodeIncrementalSort.o	0	
nodeIndexonlyscan.o	0	
nodeIndexscan.o	0	
nodeLimit.o	0	
nodeLockRows.o	0	
nodeMaterial.o	0	
nodeMemoize.o	0	
nodeMergeAppend.o	0	
nodeMergejoin.o	0	
nodeModifyTable.o	0	
nodeNamedtuplestorescan.o	0	
nodeNestloop.o	0	
nodeProjectSet.o	0	
nodeRecursiveunion.o	0	
nodeResult.o	0	
nodeSamplescan.o	0	
nodeSeqscan.o	0	
